,mol,density,BCUT_SMR_3,diameter,ASA_P,MNDO_E,PM3_E,AM1_Eele,ASA,dipoleX,pmiX,PM3_dipole,vsurf_EDmin1,vsurf_EDmin3,FASA+,FASA-,FASA_H,MNDO_dipole,MNDO_Eele,npr2,vsurf_A,vsurf_CP,vsurf_CW2,vsurf_W6,vsurf_Wp1,vsurf_Wp4,Q_VSA_FPOL,reactive,SMR_VSA1,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,h_emd,h_pavgQ,h_pstates,apol,Kier2,mutagenic,PEOE_VSA+5,PEOE_VSA-1,PEOE_VSA-6,vdw_area,GCUT_PEOE_0,GCUT_SLOGP_0,GCUT_SLOGP_2,logP(o/w)
71,[N+](CCC)=C1NC(N)=[N+]c2c1cccc2,0.69304991,2.7218473,8,162.6837,-56378.344,-50322.926,-347674.13,425.97122,-1.5597433,612.83282,8.8157759,-2.6965518,-2.6746058,0.72737509,0.27262488,0.61808759,8.2313871,-345511.66,0.66544032,4.6001105,0.24592477,1.8685883,13.25,823.75,80.625,0.51981831,0,0.0,3.185575,0.0,18.868406,27.620899,0.71706247,3.2551708,34.428688,5.3650794,0,11.190562,43.257484,0.0,222.51726,-0.77203441,-2.2036598,0.14237393,2.9489999
72,N(CCCC)c1nc(N)nc2c1CC[N+](C)C2,0.68504846,2.8846049,10,183.28821,-66325.977,-59188.125,-446560.44,487.40924,2.1048808,877.93683,13.491385,-2.7539237,-2.5949767,0.85916233,0.14083767,0.62395418,13.786224,-442228.56,0.81680042,4.017262,0.14654078,1.763479,21.375,868.875,65.875,0.59029698,0,33.57106,5.9423227,0.0,37.736813,21.404543,1.0898386,4.0440755,41.289448,6.25,1,0.0,27.44899,0.0,272.85367,-0.87868714,-2.2512882,0.12164081,0.588
73,[N+](CCCC)=C1NC(N)=[N+]C2=C1CCN(CCc1ccccc1)C2,0.67065978,2.905215,15,139.83675,-88998.156,-80560.523,-694791.13,633.52832,-1.9502282,925.43408,29.285866,-2.551388,-2.5214891,0.76642185,0.23357815,0.77927309,27.591696,-687499.06,0.86058372,5.0871243,0.23546469,1.8227818,13.875,1141.0,69.625,0.34112635,1,3.1243138,3.185575,0.0,56.605217,29.821016,1.0337783,4.4262896,58.276997,9.6297579,0,11.190562,88.723511,0.0,358.11163,-0.84428376,-2.2042909,0.13668272,3.8
74,[N+](CCCC)=C1NC(N)=[N+]C2=C1CCN(Cc1ccccc1)C2,0.67574036,2.8914089,14,155.41026,-85392.891,-77111.25,-657678.69,612.05646,-3.0719147,4396.5947,18.680349,-2.6158698,-2.5666323,0.77314454,0.22685544,0.74608511,18.340769,-653573.94,0.98082381,2.8200681,0.22714391,1.754349,13.25,1083.5,79.0,0.39707178,1,3.1243138,3.185575,0.0,56.605217,29.683859,0.95598745,4.787312,55.183411,8.909091,0,11.190562,88.723511,0.0,340.87955,-0.83871841,-2.2042906,0.13687788,3.7119999
75,[N+](CCCC)=C1NC(N)=[N+]C2=C1CCNC2,0.69174546,2.8527775,9,186.23651,-62814.867,-55860.707,-412664.06,472.66013,-1.1550487,507.11984,9.8404131,-2.6158493,-2.5902505,0.8642059,0.1357941,0.60598218,9.238883,-408545.75,0.80944401,3.8923016,0.16299708,1.9291058,12.625,899.625,94.125,0.53852713,1,0.0,0.0,0.0,56.605217,28.817339,1.0721074,4.01191,38.862652,6.0743804,0,11.190562,27.44899,0.13689101,243.10237,-0.83430785,-2.2042909,0.13041364,1.656
76,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(C)CC2,0.68031055,2.879581,9,150.76392,-66415.492,-59307.93,-450190.69,502.23294,-0.79410559,1271.7743,12.898729,-2.3863902,-2.3749571,0.87834108,0.12165895,0.69981277,12.840555,-447072.25,0.72065091,3.7521417,0.18401824,1.7407501,15.5,893.125,78.25,0.45181125,1,3.1243138,0.0,0.0,56.605217,28.543444,1.1040241,4.3662248,41.956238,6.25,0,11.190562,27.44899,0.0,270.38132,-0.85137618,-2.2042842,0.054200001,1.924
77,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(CCc1ccccc1)CC2,0.67065978,2.9055753,14,149.03764,-88999.875,-80559.547,-688125.06,652.08087,-4.7393622,5035.5601,29.210489,-2.4536421,-2.4276216,0.76520365,0.23479638,0.77144301,28.696625,-684099.75,0.7652486,5.2864256,0.23526217,1.7920096,14.375,1168.25,78.75,0.34112635,1,3.1243138,3.185575,0.0,56.605217,29.874844,1.0290487,4.8302445,58.276997,9.6297579,0,11.190562,88.723511,0.0,358.11163,-0.84834683,-2.2042885,0.13647291,3.8
78,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(Cc1c3c([nH]c1)cccc3)CC2,0.69222426,2.8928127,14,207.05034,-96380.055,-86662.625,-789210.25,633.07074,4.5326242,4537.2891,30.66991,-2.7782013,-2.7094395,0.75611168,0.2438883,0.67294282,30.721159,-772628.88,0.76753128,4.9557014,0.22218351,1.9273386,15.375,1221.25,99.875,0.44270876,1,3.1243138,3.185575,0.0,56.605217,31.931284,1.0646119,4.6031437,60.470203,9.0,0,11.190562,64.213699,0.13689101,363.03455,-0.86253047,-2.2042887,0.13680433,4.0780001
79,N(CCCC)c1nc(N)nc2c1C[N+](Cc1c3c(ccc1)cccc3)CC2,0.68450499,2.9002168,14,162.10265,-97737.766,-88629.508,-804057.19,655.55042,0.29848927,4725.416,2.6498394,-2.7267017,-2.6352665,0.70206386,0.28469631,0.75272286,3.2801306,-793859.06,0.82446462,6.3011336,0.17203809,1.8315743,31.5,1194.375,67.375,0.39657179,0,33.57106,9.1278973,0.0,37.736813,22.426531,0.91666448,5.1435289,62.890205,9.6668653,1,0.0,113.23331,0.0,380.80957,-0.87326133,-2.2430727,0.16059089,3.596
80,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(Cc1ccccc1)CC2,0.68283021,2.8914173,13,152.51147,-85392.734,-77111.094,-651856.06,611.97668,-1.5421804,434.63074,23.449497,-2.5320733,-2.4718392,0.77476472,0.22523528,0.75078875,22.800426,-648173.38,0.82015723,4.659102,0.23292929,1.7862061,12.75,1106.75,79.5,0.39707178,1,3.1243138,3.185575,0.0,56.605217,29.74077,0.94996816,5.0975537,55.183411,8.909091,0,11.190562,88.723511,0.0,340.87955,-0.84293622,-2.2042882,0.13667719,3.7119999
81,N(CCCC)c1nc(N)[n+]c2c1CN(Cc1ccncc1)CC2,0.69890368,2.8751049,13,179.28899,-86817.813,-77653.719,-656711.06,594.77991,-2.1802254,2707.8674,11.392218,-2.8304234,-2.7693846,0.83298475,0.16701527,0.69856244,12.463211,-647885.94,0.6593644,2.4552176,0.14563635,2.038672,23.375,1075.625,66.25,0.43019891,0,36.695374,9.1278973,0.0,37.736813,19.253605,0.96891946,3.0666182,53.189823,8.909091,1,0.0,33.131565,0.0,335.95053,-0.84395117,-1.4281441,0.16360913,1.6390001
82,N(CCCC)c1nc(N)[n+]c2c1CN(Cc1cnccc1)CC2,0.69890368,2.8748813,13,175.62148,-86819.711,-77653.297,-644912.56,605.55316,-0.58952445,4023.512,10.936292,-2.6166377,-2.5627196,0.8186388,0.18136121,0.70998174,10.670107,-642040.0,0.81715411,3.992543,0.12817894,1.9618245,21.375,1102.25,66.25,0.43019891,0,36.695374,9.1278973,0.0,37.736813,19.287788,0.95739466,2.9452562,53.189823,8.909091,1,0.0,45.386471,0.0,335.95053,-0.84361845,-1.4281445,0.15534826,1.638
83,N(CCCC)c1nc(N)[n+]c2c1CN(Cc1ncccc1)CC2,0.69890368,2.8735201,13,168.49712,-86821.102,-77652.914,-656525.13,602.98322,-1.6155288,2808.4197,9.2730608,-2.7213383,-2.6518335,0.80638123,0.19361877,0.72056085,8.1372585,-653157.06,0.73243582,3.8966641,0.15216663,1.828372,30.875,1070.375,67.0,0.43019891,0,36.695374,8.69907,0.0,37.736813,19.292303,0.94047731,3.0325227,53.189823,8.909091,1,0.0,45.386471,0.0,335.95053,-0.84016061,-1.4281436,0.14817525,1.6
84,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(Cc1occc1)CC2,0.71117687,2.8899081,12,164.68622,-86259.055,-77688.617,-642299.25,580.36798,-2.5999906,1784.1486,21.592926,-2.7550108,-2.7243843,0.81533617,0.18466383,0.71623826,21.222158,-631878.44,0.76903147,2.8576927,0.19917522,1.8385729,14.5,1037.25,75.25,0.42701107,1,3.1243138,5.4488211,0.0,56.605217,29.908817,0.70430362,4.2123938,51.131824,8.203125,0,11.190562,27.44899,2.503756,322.84268,-0.84524918,-2.2042873,0.10951357,2.427
85,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(Cc1sccc1)CC2,0.72892803,2.891912,12,153.83891,-84115.609,-75218.492,-619142.56,595.9068,-0.60074449,1908.7444,24.315409,-2.5227377,-2.4651322,0.73978937,0.26021066,0.74184066,23.969828,-617357.31,0.81726062,4.269042,0.22003646,1.9092573,13.75,1096.75,78.25,0.40824294,1,3.1243138,1.3584013,0.0,56.605217,29.045519,0.84330946,5.056334,53.229824,8.203125,0,11.190562,56.143398,0.0,331.55173,-0.84524256,-2.2042871,0.12863448,3.2420001
86,N(CCCC)c1nc(N)nc2c1CN(c1ccc(-c3ccccc3)cc1)CC2,0.68327725,2.864203,16,158.51361,-100513.35,-91152.063,-815331.69,685.27026,0.23150399,1896.8888,1.9124762,-2.9419372,-2.8839769,0.6947571,0.29815453,0.76868457,2.0617375,-806036.44,0.95785385,5.8551316,0.20638993,1.8524444,21.0,1217.0,50.0,0.33300853,0,33.57106,5.9423227,0.0,37.736813,10.546016,0.52155387,2.8823102,63.98341,10.346939,1,0.0,113.23331,0.0,387.99905,-0.8299216,-1.3352085,0.16445385,4.2020001
87,[N+](CCCC)=C1NC(N)=[N+]C2=C1CN(c1ccc(C(C)(C)C)cc1)CC2,0.66779006,2.8879991,14,209.85132,-96201.266,-87457.898,-815122.69,674.36365,-4.4941225,3425.2903,33.791107,-2.9666286,-2.8596458,0.77378082,0.22621916,0.68881577,33.792336,-801525.13,0.76913518,7.5702891,0.3036032,1.6890279,13.75,1183.375,81.125,0.47428769,1,0.0,3.185575,0.0,56.605217,29.991596,0.52518785,2.8889828,64.464172,9.0,0,11.190562,108.20183,0.0,403.96722,-0.82758015,-2.204289,0.070253044,5.0770001
88,[N+](CCCC)=C1NC(N)=[N+]C2=C1CNCC2,0.70240325,2.8510303,9,184.24747,-62815.262,-55861.094,-412484.56,466.49313,0.10010203,1424.1111,9.6043167,-2.6394441,-2.5964696,0.86422092,0.13577911,0.60503715,8.8723726,-408621.0,0.81353891,3.3453345,0.15565574,1.9291401,12.75,896.875,94.875,0.53852713,1,0.0,0.0,0.0,56.605217,28.796438,1.0813795,4.3725581,38.862652,6.0743804,0,11.190562,27.44899,0.13689101,243.10237,-0.83888823,-2.2042837,0.12887414,1.656
89,[N+](CCCC)=C1NC(N)=[N+]c2c1c(C)ccc2,0.68578708,2.7772031,9,139.70934,-63593.871,-57225.289,-426748.91,472.70364,-1.1128021,1150.0836,8.9059296,-2.6747737,-2.6559114,0.72501093,0.27498904,0.70444626,8.565053,-422867.84,0.74730426,4.9781218,0.32099134,1.7953002,9.25,873.0,69.375,0.45010468,0,0.0,6.37115,0.0,37.736813,27.73893,0.72901052,3.2591915,40.61586,6.25,0,11.190562,51.958797,0.0,256.98145,-0.78153539,-2.2036889,0.13434495,3.687
